locus_tag	ftype	length_bp	gene	EC_number	COG	product
EOCBLFJH_00001	CDS	1653				hypothetical protein
EOCBLFJH_00002	CDS	846	pqqB			Coenzyme PQQ synthesis protein B
EOCBLFJH_00003	CDS	1464	pan_1		COG1222	Proteasome-activating nucleotidase
EOCBLFJH_00004	CDS	1755				hypothetical protein
EOCBLFJH_00005	CDS	603				hypothetical protein
EOCBLFJH_00006	CDS	1221				hypothetical protein
EOCBLFJH_00007	CDS	975				hypothetical protein
EOCBLFJH_00008	CDS	1380		1.3.7.11	COG0644	Digeranylgeranylglycerophospholipid reductase
EOCBLFJH_00009	CDS	789	gph	3.1.3.18		Phosphoglycolate phosphatase
EOCBLFJH_00010	CDS	924				hypothetical protein
EOCBLFJH_00011	CDS	348				hypothetical protein
EOCBLFJH_00012	CDS	1014	glnA	6.3.1.2	COG0174	Glutamine synthetase
EOCBLFJH_00013	CDS	564			COG0517	putative protein
EOCBLFJH_00014	CDS	741				hypothetical protein
EOCBLFJH_00015	CDS	483				hypothetical protein
EOCBLFJH_00016	CDS	1782	pepX_1	3.4.14.11		Xaa-Pro dipeptidyl-peptidase
EOCBLFJH_00017	CDS	1017	gmd_1	4.2.1.47		GDP-mannose 4,6-dehydratase
EOCBLFJH_00018	CDS	801	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
EOCBLFJH_00019	CDS	234				hypothetical protein
EOCBLFJH_00020	CDS	684	cheY			Chemotaxis protein CheY
EOCBLFJH_00021	CDS	378				hypothetical protein
EOCBLFJH_00022	CDS	1428	ftsY		COG0552	Signal recognition particle receptor FtsY
EOCBLFJH_00023	CDS	555	pfdA			Prefoldin subunit alpha
EOCBLFJH_00024	CDS	273				hypothetical protein
EOCBLFJH_00025	CDS	3132				hypothetical protein
EOCBLFJH_00026	CDS	1005				hypothetical protein
EOCBLFJH_00027	CDS	1266	smc_1			Chromosome partition protein Smc
EOCBLFJH_00028	CDS	816		2.5.1.41	COG1646	Geranylgeranylglyceryl phosphate synthase
EOCBLFJH_00029	CDS	1734			COG1136	putative ABC transporter ATP-binding protein
EOCBLFJH_00030	CDS	876				hypothetical protein
EOCBLFJH_00031	CDS	1026	wecH	2.3.1.-		O-acetyltransferase WecH
EOCBLFJH_00032	CDS	855	purQ	3.5.1.2		Phosphoribosylformylglycinamidine synthase subunit PurQ
EOCBLFJH_00033	CDS	3048	purL	6.3.5.3		Phosphoribosylformylglycinamidine synthase subunit PurL
EOCBLFJH_00034	CDS	2937	livG_1		COG0411	putative branched-chain amino acid transport ATP-binding protein LivG
EOCBLFJH_00035	CDS	882				hypothetical protein
EOCBLFJH_00036	CDS	1212				hypothetical protein
EOCBLFJH_00037	CDS	783				hypothetical protein
EOCBLFJH_00038	CDS	1236	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
EOCBLFJH_00039	CDS	1137				hypothetical protein
EOCBLFJH_00040	CDS	1377	gcvPA	1.4.4.2		glycine dehydrogenase (decarboxylating) subunit 1
EOCBLFJH_00041	CDS	1500	gcvPB	1.4.4.2		glycine dehydrogenase (decarboxylating) subunit 2
EOCBLFJH_00042	CDS	654				hypothetical protein
EOCBLFJH_00043	CDS	507	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
EOCBLFJH_00044	CDS	951	guaAB	6.3.5.2	COG0519	GMP synthase [glutamine-hydrolyzing] subunit B
EOCBLFJH_00045	tRNA	75				tRNA-Asn(gtt)
