locus_tag	ftype	length_bp	gene	EC_number	COG	product
ECADFAHP_00001	CDS	240				hypothetical protein
ECADFAHP_00002	CDS	582	msrQ		COG2717	Protein-methionine-sulfoxide reductase heme-binding subunit MsrQ
ECADFAHP_00003	CDS	1038	msrP_1	1.8.5.-	COG2041	Protein-methionine-sulfoxide reductase catalytic subunit MsrP
ECADFAHP_00004	CDS	858				hypothetical protein
ECADFAHP_00005	CDS	1470	ilvC	1.1.1.86	COG0059	Ketol-acid reductoisomerase (NADP(+))
ECADFAHP_00006	CDS	492	ilvH	2.2.1.6	COG0440	Acetolactate synthase isozyme 3 small subunit
ECADFAHP_00007	CDS	1728	ilvI	2.2.1.6	COG0028	Acetolactate synthase isozyme 3 large subunit
ECADFAHP_00008	CDS	2622	clpB		COG0542	Chaperone protein ClpB
ECADFAHP_00009	CDS	774	yfiH	1.10.3.-	COG1496	Polyphenol oxidase
ECADFAHP_00010	CDS	966	rluD	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
ECADFAHP_00011	CDS	1008	bamD		COG4105	Outer membrane protein assembly factor BamD
ECADFAHP_00012	CDS	570	sigE_1		COG1595	ECF RNA polymerase sigma factor SigE
ECADFAHP_00013	CDS	555				hypothetical protein
ECADFAHP_00014	CDS	309				hypothetical protein
ECADFAHP_00015	CDS	582				hypothetical protein
ECADFAHP_00016	CDS	1653	nadE	6.3.5.1	COG0171	Glutamine-dependent NAD(+) synthetase
ECADFAHP_00017	CDS	1686	atoS	2.7.13.3	COG0642	Signal transduction histidine-protein kinase AtoS
ECADFAHP_00018	CDS	1413	atoC		COG2204	Regulatory protein AtoC
ECADFAHP_00019	CDS	558				hypothetical protein
ECADFAHP_00020	CDS	459	pilE_1		COG4969	Fimbrial protein
ECADFAHP_00021	CDS	351				hypothetical protein
ECADFAHP_00022	CDS	1809	pilY1_1			Type IV pilus biogenesis factor PilY1
ECADFAHP_00023	CDS	1842	pilY1_2			Type IV pilus biogenesis factor PilY1
ECADFAHP_00024	CDS	573				hypothetical protein
ECADFAHP_00025	CDS	1137				hypothetical protein
ECADFAHP_00026	CDS	516				hypothetical protein
ECADFAHP_00027	CDS	549				hypothetical protein
ECADFAHP_00028	CDS	759				hypothetical protein
ECADFAHP_00029	CDS	1416	phoQ	2.7.13.3	COG0642	Sensor protein PhoQ
ECADFAHP_00030	CDS	678	phoP			Virulence transcriptional regulatory protein PhoP
ECADFAHP_00031	CDS	297				hypothetical protein
ECADFAHP_00032	CDS	528				hypothetical protein
ECADFAHP_00033	CDS	426	cspA		COG1278	Major cold shock protein CspA
ECADFAHP_00034	CDS	213	slyX			Protein SlyX
ECADFAHP_00035	CDS	1155				hypothetical protein
ECADFAHP_00036	CDS	510	resA_1		COG0526	Thiol-disulfide oxidoreductase ResA
ECADFAHP_00037	CDS	219				hypothetical protein
ECADFAHP_00038	CDS	1155				hypothetical protein
ECADFAHP_00039	CDS	906	apbE_1	2.7.1.180	COG1477	FAD:protein FMN transferase
ECADFAHP_00040	CDS	1014	srkA	2.7.11.1	COG2334	Stress response kinase A
ECADFAHP_00041	CDS	336				hypothetical protein
ECADFAHP_00042	CDS	1449	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
ECADFAHP_00043	CDS	1017	ybeZ		COG1702	PhoH-like protein
ECADFAHP_00044	CDS	474	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
ECADFAHP_00045	CDS	858	corC		COG4535	Magnesium and cobalt efflux protein CorC
ECADFAHP_00046	CDS	2481	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
ECADFAHP_00047	CDS	513	lptE		COG2980	LPS-assembly lipoprotein LptE
ECADFAHP_00048	CDS	990	holA	2.7.7.7	COG1466	DNA polymerase III subunit delta
ECADFAHP_00049	CDS	1977	barA	2.7.13.3	COG0784	Signal transduction histidine-protein kinase BarA
ECADFAHP_00050	CDS	246				hypothetical protein
ECADFAHP_00051	CDS	729	hdl IVa	3.8.1.2		(S)-2-haloacid dehalogenase 4A
ECADFAHP_00052	CDS	1341				hypothetical protein
ECADFAHP_00053	CDS	954	ppiA_1	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
ECADFAHP_00054	CDS	1479	dnaK_1		COG0443	Chaperone protein DnaK
ECADFAHP_00055	CDS	567				hypothetical protein
ECADFAHP_00056	CDS	2445				hypothetical protein
ECADFAHP_00057	CDS	1242				hypothetical protein
ECADFAHP_00058	CDS	699				hypothetical protein
ECADFAHP_00059	CDS	612	pnuC		COG3201	Nicotinamide riboside transporter PnuC
ECADFAHP_00060	CDS	261				hypothetical protein
ECADFAHP_00061	CDS	2085	fyuA		COG1629	Pesticin receptor
ECADFAHP_00062	CDS	561	nadR		COG1056	Trifunctional NAD biosynthesis/regulator protein NadR
ECADFAHP_00063	CDS	741				hypothetical protein
ECADFAHP_00064	CDS	963	lipA	2.8.1.8	COG0320	Lipoyl synthase
ECADFAHP_00065	CDS	711	lipB	2.3.1.181	COG0321	Octanoyltransferase
ECADFAHP_00066	CDS	288				hypothetical protein
ECADFAHP_00067	CDS	1221	dacA	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacA
ECADFAHP_00068	CDS	858	rlpA	4.2.2.-		Endolytic peptidoglycan transglycosylase RlpA
ECADFAHP_00069	CDS	1149	mrdB	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase MrdB
ECADFAHP_00070	CDS	1986	mrdA	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
ECADFAHP_00071	CDS	471	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
ECADFAHP_00072	CDS	381	rsfS		COG0799	Ribosomal silencing factor RsfS
ECADFAHP_00073	CDS	657	nadD	2.7.7.18	COG1057	Nicotinate-nucleotide adenylyltransferase
ECADFAHP_00074	CDS	1260	proA	1.2.1.41		Gamma-glutamyl phosphate reductase
ECADFAHP_00075	CDS	1497	nhaC		COG1757	Na(+)/H(+) antiporter NhaC
ECADFAHP_00076	CDS	573				hypothetical protein
ECADFAHP_00077	CDS	306				hypothetical protein
ECADFAHP_00078	CDS	861	gloC	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloC
ECADFAHP_00079	CDS	1182		1.1.1.81	COG0111	Hydroxypyruvate reductase
ECADFAHP_00080	CDS	1089	serC	2.6.1.52		Phosphoserine aminotransferase
ECADFAHP_00081	CDS	1083	dinB	2.7.7.7	COG0389	DNA polymerase IV
ECADFAHP_00082	CDS	495	greB		COG0782	Transcription elongation factor GreB
ECADFAHP_00083	CDS	1011	cdhR		COG4977	HTH-type transcriptional regulator CdhR
ECADFAHP_00084	CDS	300				hypothetical protein
ECADFAHP_00085	CDS	372	hpf		COG1544	Ribosome hibernation promotion factor
ECADFAHP_00086	CDS	270				hypothetical protein
ECADFAHP_00087	CDS	495	vanYB	3.4.16.4	COG1876	D-alanyl-D-alanine carboxypeptidase
ECADFAHP_00088	CDS	867	dnhA	3.3.2.14		2,4-dinitroanisole O-demethylase subunit alpha
ECADFAHP_00089	CDS	1923	fabY	2.3.1.180	COG0304	Beta-ketoacyl-[acyl-carrier-protein] synthase FabY
ECADFAHP_00090	CDS	1527	fumA	4.2.1.2	COG1838	Fumarate hydratase class I, aerobic
ECADFAHP_00091	CDS	390	cueR		COG0789	HTH-type transcriptional regulator CueR
ECADFAHP_00092	CDS	1170	acdA_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
ECADFAHP_00093	CDS	1608		2.1.3.1	COG4799	Methylmalonyl-CoA carboxyltransferase 12S subunit
ECADFAHP_00094	CDS	2082	accA1		COG4770	Acetyl-/propionyl-coenzyme A carboxylase alpha chain
ECADFAHP_00095	CDS	1278				hypothetical protein
